"","Assay","time_contrast","estimate","SE","df","t.ratio","p","q"
"1902","PSMG3","week52 - week24",0.0138748917748925,0.351884742257227,82,0.0394302170815636,0.968643231619444,0.98983350503297
"1903","TPT1","week24 - week0",-0.453361688311689,0.35236606606626,82,-1.28662130656599,0.201846879749819,0.836903694877573
"1904","TPT1","week52 - week0",-0.0221367965367966,0.35236606606626,82,-0.0628232927873193,0.950060103015719,0.989292669723712
"1905","TPT1","week52 - week24",0.431224891774893,0.35236606606626,82,1.22379801377867,0.224533271629495,0.821359378462206
"1906","SERPINC1","week24 - week0",-0.164240043290044,0.198781900468129,82,-0.826232382844016,0.411069883365234,0.87154806974561
"1907","SERPINC1","week52 - week0",-0.49923787878788,0.198781900468129,82,-2.51148559105322,0.0139851262520443,0.280800721681016
"1908","SERPINC1","week52 - week24",-0.334997835497836,0.198781900468129,82,-1.6852532082092,0.0957419787289477,0.821359378462206
"1909","EIF4G1","week24 - week0",0.14106168831169,0.281927475603896,82,0.500347431585133,0.618170687044552,0.942097289232824
"1910","EIF4G1","week52 - week0",0.339635714285715,0.281927475603896,82,1.20469178663132,0.231787795910898,0.860602741638164
"1911","EIF4G1","week52 - week24",0.198574025974025,0.281927475603896,82,0.704344355046185,0.483213930916897,0.877166347541417
"1912","TIMP3","week24 - week0",0.000839393939392851,0.305088762239673,82,0.00275131058001224,0.997811456972629,0.999180196968476
"1913","TIMP3","week52 - week0",-0.0354528138528151,0.305088762239673,82,-0.116204915554916,0.907774263233435,0.989292669723712
"1914","TIMP3","week52 - week24",-0.0362922077922079,0.305088762239673,82,-0.118956226134928,0.905600976392114,0.970683670495244
"1915","MCEMP1","week24 - week0",0.0266441558441582,0.363487875548865,82,0.0733013606132684,0.941744819508554,0.994695336947633
"1916","MCEMP1","week52 - week0",0.436227489177491,0.363487875548865,82,1.20011565315291,0.233550215031436,0.860602741638164
"1917","MCEMP1","week52 - week24",0.409583333333333,0.363487875548865,82,1.12681429253964,0.26310771949505,0.821359378462206
"1918","SHBG","week24 - week0",0.147579437229438,0.181602579386741,82,0.812650556659509,0.418771555359505,0.87154806974561
"1919","SHBG","week52 - week0",-0.161049783549784,0.181602579386741,82,-0.886825418965068,0.377766502374607,0.931734332087105
